Year,Count,Name,Gender,Ranking
1993,14064,Amber,F,17
1993,12985,Danielle,F,18
1993,12923,Victoria,F,19
1993,12575,Courtney,F,20
1993,49552,Michael,M,1
1993,38229,Christopher,M,2
1993,35771,Matthew,M,3
1993,33576,Joshua,M,4
1993,29795,Tyler,M,5
1993,28734,Brandon,M,6
1993,28662,Daniel,M,7
1993,28107,Nicholas,M,8
1993,27471,Jacob,M,9
1993,27309,Andrew,M,10
1993,27014,David,M,11
1993,26998,Joseph,M,12
1993,26715,Ryan,M,13
1993,26246,James,M,14
1993,25535,Zachary,M,15
1993,24983,John,M,16
1993,22445,Robert,M,17
1993,22207,William,M,18
1993,21786,Anthony,M,19
1993,21537,Justin,M,20
